"day","aliveThatDay","diedThatDay","totalDeaths",
"1159","60","1","1771",
"1160","59","3","1774",
"1161","58","3","1777",
"1162","59","0","1777",
"1163","58","3","1780",
"1164","61","2","1782",
"1165","60","2","1784",
"1166","60","3","1787",
"1167","61","2","1789",
"1168","62","1","1790",
"1169","61","1","1791",
"1170","59","3","1794",
"1171","56","4","1798",
"1172","55","2","1800",
"1173","55","2","1802",
"1174","55","2","1804",
"1175","54","2","1806",
"1176","53","2","1808",
"1177","53","2","1810",
"1178","53","2","1812",
"1179","55","2","1814",
"1180","55","2","1816",
"1181","55","2","1818",
"1182","56","1","1819",
"1183","54","2","1821",
"1184","55","2","1823",
"1185","56","2","1825",
"1186","52","4","1829",
"1187","56","0","1829",
"1188","56","0","1829",
"1189","57","1","1830",
"1190","54","3","1833",
"1191","55","1","1834",
"1192","56","2","1836",
"1193","58","1","1837",
"1194","60","0","1837",
"1195","61","0","1837",
"1196","64","0","1837",
"1197","64","2","1839",
"1198","66","1","1840",
"1199","64","3","1843",
"1200","65","1","1844",
"1201","64","3","1847",
"1202","62","3","1850",
"1203","61","2","1852",
"1204","62","0","1852",
"1205","60","4","1856",
"1206","57","4","1860",
"1207","57","3","1863",
"1208","59","2","1865",
"1209","59","2","1867",
"1210","58","2","1869",
"1211","59","1","1870",
"1212","57","3","1873",
"1213","56","2","1875",
"1214","54","3","1878",
"1215","53","3","1881",
"1216","57","1","1882",
"1217","59","1","1883",
"1218","60","1","1884",
"1219","58","4","1888",
"1220","57","1","1889",
"1221","55","2","1891",
"1222","54","2","1893",
"1223","56","1","1894",
"1224","57","2","1896",
"1225","56","3","1899",
"1226","58","0","1899",
"1227","57","2","1901",
"1228","57","1","1902",
"1229","58","1","1903",
"1230","56","3","1906",
"1231","54","3","1909",
"1232","57","0","1909",
"1233","58","0","1909",
"1234","56","2","1911",
"1235","54","2","1913",
"1236","52","3","1916",
"1237","54","0","1916",
"1238","52","3","1919",
"1239","53","1","1920",
"1240","51","2","1922",
"1241","51","1","1923",
"1242","50","1","1924",
"1243","52","0","1924",
"1244","53","1","1925",
"1245","54","1","1926",
"1246","54","2","1928",
"1247","54","2","1930",
"1248","56","2","1932",
"1249","55","3","1935",
"1250","56","1","1936",
"1251","53","3","1939",
"1252","53","1","1940",
"1253","55","0","1940",
"1254","55","2","1942",
"1255","54","2","1944",
"1256","53","1","1945",
"1257","52","2","1947",
"1258","53","2","1949",
"1259","52","3","1952",
"1260","55","0","1952",
"1261","56","0","1952",
"1262","56","2","1954",
"1263","56","0","1954",
"1264","53","3","1957",
"1265","54","2","1959",
"1266","54","1","1960",
"1267","55","1","1961",
"1268","55","0","1961",
"1269","51","5","1966",
"1270","51","1","1967",
"1271","50","3","1970",
"1272","51","0","1970",
"1273","51","2","1972",
"1274","53","0","1972",
"1275","56","1","1973",
"1276","54","4","1977",
"1277","58","0","1977",
"1278","59","0","1977",
"1279","61","1","1978",
"1280","59","2","1980",
"1281","59","1","1981",
